Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
11,299.5996069619828,13,209.28135041830862,554,2977.332900433981,0.10496025512074157,0.14663554690325226,387.92138465207483,0.7272456451729093,May,4,13,5,7,New_Visitor,True,True
24,108.9261588724331,5,22.974279410284137,6,6927.422478713493,0.17657758092809087,0.06935246014334505,338.4929221771807,0.8262136229163545,Feb,7,8,5,15,New_Visitor,False,True
16,47.000736084949324,4,175.56668625241386,43,5620.162600614261,0.12744356909623455,0.13100814525785173,19.0647390534592,0.22052371048306685,May,5,3,4,14,New_Visitor,True,True
26,100.79928865762868,18,246.30620138148217,171,976.0336283142203,0.1367562047004582,0.022801193006731516,122.92191691632026,0.6579820891989734,Nov,6,13,8,9,Other,False,False
26,368.3025804218935,18,116.9004960324497,101,2785.9883303228667,0.09486643640269772,0.19447947622879677,131.57023234006928,0.8191383112360617,Apr,4,12,6,12,Returning_Visitor,True,True
9,232.63553513990215,12,59.40022026607623,579,155.40403341992626,0.18863000157210333,0.10025078564768619,191.8897604725922,0.7401654123700131,Oct,6,7,3,18,New_Visitor,True,True
27,213.39208349791315,6,176.2881891724412,633,7142.426140340895,0.07492944834778688,0.17410850261321165,110.36328691277575,0.6978972325303626,Aug,4,12,9,17,Other,True,True
27,238.5574398769846,7,247.89198819026336,588,5976.042284971875,0.07581938580416703,0.13499167996356148,331.7512340106242,0.9441812678661624,Jan,4,1,4,5,Returning_Visitor,True,True
15,146.4113062986061,13,14.66098761211967,295,3486.886885089971,0.10354754574500553,0.19034754088221287,188.32869177209125,0.7456473055837592,Apr,1,9,1,17,Other,False,True
14,322.8428081278051,18,179.08536514822072,204,6083.104820159168,0.11718643782648597,0.11410014249246342,5.0201342316768205,0.48914992237398613,Dec,1,1,4,15,Other,True,True
29,209.31449972009992,18,192.95213860180257,490,7467.3775496911085,0.10748502268755021,0.061277316860620636,155.8087247772003,0.8693747255245207,Jul,7,11,7,13,Other,True,True
29,46.699161107518215,22,180.7101118044839,317,2239.1335412069493,0.16372631285637584,0.1227036373091504,237.18676613534998,0.43697657723840777,Feb,1,4,4,1,Returning_Visitor,False,True
14,51.62604993162518,11,195.01010527111455,170,2286.5347285186663,0.16690259751699288,0.19937688784682248,263.70112084840304,0.7970694134610121,Feb,5,3,9,15,New_Visitor,True,True
29,214.74365860104734,22,189.41259228124636,217,3861.2118516415767,0.02633306153062236,0.16307010482061396,38.5377613231189,0.6247357085876861,May,3,8,6,11,Returning_Visitor,False,True
18,374.6280872283357,8,39.121165494104716,500,5655.197019668398,0.1192327688315799,0.09099214427423721,198.92097178232677,0.6055795248998253,Sep,3,6,3,18,Returning_Visitor,True,True
11,123.3408486704795,13,70.4810330846746,192,7944.299482693822,0.19677984252811115,0.16330425408626884,172.14841516835574,0.7387438733347506,Oct,7,11,1,17,Returning_Visitor,True,True
22,347.81646754368734,5,185.69820158670305,332,1303.4516432289713,0.11993165332391803,0.14056628053279566,70.39055127863199,0.6994495319325041,Oct,1,7,8,18,New_Visitor,True,True
19,305.6382346315517,14,5.307948341031232,152,2737.084519278299,0.13763282002320798,0.18774401431606508,72.08762020698987,0.5337457031257875,Dec,6,2,3,12,New_Visitor,True,True
24,99.12497716276275,12,190.42335561697334,552,2907.519821207477,0.17227392966323218,0.0729591267280211,389.21855441912805,0.8854597209985071,Aug,4,6,9,17,Other,True,True
2,14.536299326496982,6,199.61598713550958,22,5806.591782228933,0.17332037685703297,0.008076887433055636,165.40621123790856,0.7217161867872962,May,7,3,6,5,New_Visitor,True,True
4,40.7389060569531,10,71.75242795849755,697,7092.7823675925965,0.0034381520276818515,0.017285108408827955,256.11575808047445,0.580615498164396,Jul,1,7,9,14,Returning_Visitor,False,True
18,291.3975735389761,9,179.4398489259419,215,1470.361107496018,0.047886493227435656,0.1534828057490467,82.48641836577906,0.7038830114543814,Aug,4,13,4,4,Other,False,True
6,79.86789521625867,0,160.22701821712937,42,5709.202858579432,0.1725756423667268,0.13825371802348438,382.5885087435819,0.343852255149128,Mar,5,12,4,9,Other,False,True
20,148.50836820215753,6,78.20746444593414,360,7276.9761260767145,0.13342013421065488,0.14667551651320176,378.70893102902505,0.9995047581819148,Sep,6,8,1,10,Other,False,True
8,200.67966640256992,17,138.89220356242637,624,970.3653520054659,0.12634115772729942,0.13354171568123482,317.39942610401147,0.46930580029428637,Jul,6,8,4,14,Other,False,True
6,290.1872673800651,22,272.88735882365444,413,5080.479840506485,0.17198882832509899,0.09142171646022144,174.46477265086006,0.4749224129598131,Nov,4,11,4,12,Other,False,True
17,45.29248930365015,2,127.98083413796486,417,1619.0725136063584,0.16131001916799434,0.013617381584619026,166.08141200556125,0.39087088642051604,Dec,4,11,1,15,Returning_Visitor,False,True
3,162.54656211098458,8,188.9532530638505,621,3529.127350089694,0.15027012079907937,0.16711030803479202,355.9186592626466,0.3215056899649098,Apr,7,1,4,8,New_Visitor,True,False
24,194.02916365707816,4,10.60524631220826,649,1014.4698980522815,0.009470564335191846,0.036156868556380076,347.4843334394192,0.9633417503680123,Jan,3,9,2,8,New_Visitor,False,True
27,216.33082558861588,22,23.34003399662964,616,5468.953541450414,0.15633097348650682,0.19797355509494152,369.83304644325887,0.9698297279193319,Jul,7,5,2,12,New_Visitor,False,True
13,327.34425655808667,23,24.392421990995537,315,3211.003039279759,0.04012186061650136,0.041081027273461995,109.27621953405126,0.947933186685687,June,4,11,3,6,New_Visitor,False,True
17,68.67127801728677,12,233.47222908793364,651,4538.021550878427,0.005201751962178359,0.016745470474549152,264.86628791044325,0.3227772329135541,Jul,1,6,1,5,Returning_Visitor,False,True
25,323.1325807306489,15,105.0770684410358,429,4188.338595289299,0.098377974049627,0.07511119114902139,268.70230682180625,0.6191776744853472,Jul,8,2,9,19,Returning_Visitor,True,False
8,277.1513710786609,15,68.283506509744,498,5551.87842268102,0.18847202495902649,0.0650888096257776,144.00164777702312,0.18445369333675732,Dec,6,9,5,1,New_Visitor,True,True
25,222.34832567958372,11,224.1973705355168,348,7164.626718724153,0.17729063556688485,0.19532540580987434,37.82115331813709,0.7215671258575731,Oct,2,1,1,16,New_Visitor,False,True
20,279.81114816102877,17,50.98801876685234,74,2237.9947070975145,0.1964114460866856,0.07891224875354935,41.75593195403757,0.27235565885998736,June,6,12,2,1,New_Visitor,False,True
1,164.80709558066255,10,73.94775752108418,232,4761.334510668477,0.049306427976052315,0.009321527519976058,337.1578484103626,0.6862098563863211,Jan,5,6,4,13,New_Visitor,True,True
19,55.35903438724983,16,129.27943298100627,569,4590.131029801507,0.13907858068269444,0.19741822795206065,136.69668055903023,0.7165586161904576,Aug,8,11,1,13,Returning_Visitor,False,True
27,266.3060961061469,6,99.43142070438398,37,2521.1625533673737,0.0111692559311527,0.15729419719728274,356.15730060925756,0.9966286684610327,Feb,6,1,4,17,Returning_Visitor,False,True
14,209.8689226742489,14,175.6176633109933,261,3996.6892378101948,0.1606905602093246,0.1995885910079338,114.51378731872369,0.7860288231397913,May,8,3,3,14,Returning_Visitor,False,True
27,255.7499202171102,5,101.3521857224543,445,323.6253891399743,0.10475282640920783,0.0635075481996491,81.06377659208404,0.5773927306057606,Aug,8,10,1,19,New_Visitor,False,True
6,135.199512411396,5,117.88549075766758,211,3415.464574277979,0.19925721571150046,0.02354762941106068,157.1480347195548,0.49063429733003716,Jul,6,5,6,19,Other,True,False
11,362.7466309359344,17,258.8659824748458,457,2164.2150889646523,0.047998891397689314,0.07953875838219684,289.59124556949035,0.056440496555152486,Feb,6,4,9,3,Returning_Visitor,False,True
28,234.94794743023078,18,265.3594318884007,649,6911.80520077155,0.1569296475405323,0.027989131551375016,248.0755916891163,0.9451356797237156,June,2,10,9,3,Returning_Visitor,False,True
7,34.16099371634953,19,248.31335724402226,281,2862.3335051146955,0.03419113842724164,0.029368716690329547,60.072964800955965,0.1831048729805479,Nov,7,3,6,15,New_Visitor,True,True
14,179.92159628177146,18,259.4492798113898,569,1537.6778136487933,0.05743641476577819,0.1805344685082528,392.4520132749794,0.041090899772731615,Jan,5,11,6,9,Returning_Visitor,True,True
2,302.5424218974537,1,170.91860080173512,564,4237.369803492418,0.05911261137215443,0.1987807931377369,391.3666784389141,0.34964238793308255,Jul,6,11,9,2,Returning_Visitor,False,True
13,317.6538246929089,2,193.8699644254152,205,6487.715580876935,0.11557340271042665,0.19888532747526774,108.7582001999988,0.2297342761994725,Oct,1,1,8,18,Other,False,True
16,197.8388211055035,13,167.15194996648216,4,2832.3660709420146,0.07302191680722907,0.08769065339296606,212.03391169036917,0.4849072505199039,Feb,1,13,4,3,Other,False,True
3,357.8990283325204,21,235.676425215876,618,6774.643286685868,0.0877430088898674,0.04785840782755538,91.04566401632046,0.9242152387050715,June,8,4,8,20,New_Visitor,True,True
17,107.06737487771902,24,165.30014572843328,242,2609.036460767756,0.104361198179212,0.03440687201916808,396.8741984001849,0.9562456682326596,Nov,2,8,1,1,Returning_Visitor,True,True
7,164.23947889530663,3,33.32308936523416,147,5884.7842645261235,0.011244014893306821,0.07642191874870322,139.32150292014143,0.28601144596635864,Jul,3,13,2,8,New_Visitor,False,True
3,359.438764227588,21,242.87403613705797,690,922.0094200004727,0.13307246525369937,0.11978897269095796,360.784653253322,0.9094957794545775,Dec,5,8,7,16,New_Visitor,False,True
1,358.50268658863155,16,228.1755512032609,685,497.604413161735,0.12985338188462814,0.14871770034135948,171.61572001857613,0.9010628302256242,Sep,6,7,9,18,Returning_Visitor,True,True
29,274.28510752987233,5,246.0901785847876,322,5900.607245783287,0.1929603686277791,0.10327258316124109,286.48704539891827,0.43866020004096784,Mar,8,3,7,14,New_Visitor,False,True
5,343.5922188488881,18,57.12883901692856,386,2947.1857117791033,0.02667743599328387,0.16854797386078046,362.16320107539747,0.5422184261084264,Feb,3,1,7,4,Returning_Visitor,False,True
21,35.50930678249307,8,81.48511581449011,392,3143.9621932204923,0.0061933568472347,0.18393335022100982,248.48165717091274,0.04908991986400868,Apr,8,5,2,5,Returning_Visitor,False,True
9,345.9979904831105,3,88.725509179059,650,4593.221176486768,0.026645374612864717,0.17713325861206358,92.35511103295102,0.02079008792130599,Apr,6,8,6,12,New_Visitor,True,True
3,128.2479626200907,6,152.4241608557021,686,7894.961279118202,0.08449297013396269,0.07384113672688426,319.02670981343573,0.15411283418569244,May,7,9,8,12,Returning_Visitor,False,True
21,71.33260497128653,3,40.16312524903793,249,1372.07841419629,0.04278669338622609,0.19010941878674115,363.56016119823295,0.5232053527664468,Jul,1,7,1,7,Other,False,True
28,95.74793453681853,10,115.61452598246021,427,2398.8326285000853,0.04326359030167784,0.1846145463957963,35.64562564579386,0.4715632983239664,Mar,4,8,7,4,Other,False,True
17,167.18740320555483,21,54.64744832370888,368,5189.629213173467,0.17387960043117698,0.08233103638922695,149.33999463416367,0.012632458768441879,May,5,1,3,8,New_Visitor,False,True
25,100.4768018417869,22,79.42881390982095,647,5607.706445098763,0.06476620457471219,0.08426186348189141,397.048802570659,0.11137253237385858,Oct,8,2,6,11,Other,True,True
11,128.2270344065996,1,211.9162903675282,446,5649.162072258373,0.08335945371919212,0.015608415588162417,260.74828666853904,0.41939545665729483,May,5,1,5,15,New_Visitor,False,False
1,53.99139442865683,9,256.44334689518433,21,4763.242145063398,0.1368301668794103,0.18739890330203285,69.66699706334202,0.8069424091096652,Jul,8,4,3,17,New_Visitor,True,True
9,118.47070622359941,5,6.871759979155156,549,4706.270915091584,0.06798840816433989,0.017691994234639474,337.226748222163,0.5411216227962673,Sep,1,3,8,9,Returning_Visitor,False,True
29,228.91352581680047,7,169.7690890065001,538,1184.8555964683376,0.11087128252559329,0.09822844686719881,188.44420467951997,0.687833964650281,Oct,3,3,8,20,Other,False,False
3,176.74148323642558,14,10.817928618680138,281,6677.002983446249,0.10457533333722394,0.14428289361163057,344.7386250759978,0.4549980955451185,Nov,4,5,3,4,New_Visitor,False,True
13,138.68750449436448,12,25.57477350346509,278,71.16648974505502,0.05230373959828747,0.17593284037842982,305.4027425528981,0.3794449312525514,Jul,7,1,1,11,New_Visitor,True,True
15,298.5808515428456,21,211.5252103842327,119,3340.618085465363,0.1434188428765963,0.11419998657515584,288.83745004944524,0.9087485267881146,Mar,2,11,7,19,Returning_Visitor,False,True
14,357.4039885573272,1,220.682431950635,252,1723.2740142874422,0.16682271845567628,0.13651567777182563,108.09284509108359,0.829258735189758,Mar,4,13,9,6,Returning_Visitor,False,True
7,302.7156891609588,19,244.19420195183963,476,834.7193037235962,0.15669110845488932,0.14202605492513262,223.3774064252661,0.19936285454749147,Mar,3,7,1,12,Returning_Visitor,True,True
13,132.80028084707166,0,142.2724535310915,64,2555.9264393178883,0.07905793604114697,0.003194185639448244,342.1147351724059,0.8143535053719102,Dec,6,3,3,18,Returning_Visitor,True,False
22,297.77686713502146,14,257.94224460485646,585,5257.498342830399,0.1865917012919679,0.18849717378102374,341.6924750727862,0.25188175288499604,Jan,7,1,4,13,New_Visitor,True,True
27,60.79207298962048,6,50.051487492487304,302,3976.663282516129,0.17979290086057295,0.07198432717893022,68.22094920995285,0.03910884887159927,Oct,1,2,6,11,New_Visitor,True,True
24,52.127195236516364,23,74.91492409050079,316,6988.206894990539,0.0533671387015777,0.035504385802375076,160.447827040208,0.7873400496951127,June,7,3,8,16,Other,False,True
29,138.25081481446358,17,40.350644280591396,173,4797.483636630305,0.024788265020562153,0.09466737210418819,183.9423073197652,0.1535976862354711,Oct,4,10,6,17,Other,True,True
7,323.0809476176228,9,239.26117817456299,414,2025.0722881214358,0.1787615726637412,0.14669705948459297,192.3504656045787,0.28268441605291483,Apr,2,12,3,5,Other,False,True
20,98.53929889692074,14,68.60253551598568,259,4121.767562327429,0.14897133169240526,0.16546784777363416,183.142245447343,0.7666448745702064,Oct,7,12,3,12,Other,True,True
15,25.301363559471834,4,46.653372827488695,284,1819.0864303629874,0.06219810604628693,0.14392225992013905,38.3807569382439,0.4850805688278036,Nov,8,4,2,15,New_Visitor,True,True
12,52.683814082542035,23,186.93320627641685,72,1429.2518009584967,0.0609753523250332,0.08002724269981953,361.40722611342085,0.6922716602400738,Apr,3,13,9,3,Returning_Visitor,False,True
17,343.49798741183207,10,23.12460790820232,78,7640.164203370881,0.06443363775898366,0.13630993417599904,312.5835696531936,0.029346226793271035,Mar,6,4,9,19,Other,False,True
14,253.51331389891504,7,13.470083166051761,43,3744.262658780774,0.17226679155482338,0.08637466375500201,172.52562744366463,0.3357188943230046,Apr,7,9,2,5,Returning_Visitor,True,True
20,101.28046534799067,20,32.015294565737676,2,5209.664725888404,0.048046254796688205,0.19737335569081704,380.52243975430235,0.35494700503141774,Mar,4,5,8,15,Returning_Visitor,True,False
23,222.11833013127253,7,0.07226519615027849,442,6987.458217516719,0.13021734347309452,0.1992930010469293,216.55764842698298,0.24468647661610088,Feb,7,1,7,10,Returning_Visitor,False,False
25,211.03184897014015,5,209.09704626653775,78,2577.4212163024713,0.16688876256197302,0.049958887004051,23.175782258170585,0.37526647416390235,Aug,4,1,6,10,New_Visitor,False,True
24,262.1743913762645,14,168.6705965143436,376,6312.201920894455,0.077469078567433,0.09666556216815708,177.26147646929627,0.3648809508153896,Sep,4,1,5,14,New_Visitor,True,True
27,93.27502176864652,14,62.962532711317166,692,6310.615475217562,0.012298244624221733,0.11530333314180863,82.55738075465713,0.9440941753204712,Nov,6,8,3,11,Other,False,True
27,345.76119487775907,4,69.90148439327875,138,6592.095218490832,0.15177080134578844,0.1272478906647527,399.26443623946034,0.8491182040995862,Aug,6,5,5,19,Returning_Visitor,False,True
27,123.74742483200514,12,243.2905795410119,6,1515.7163541633913,0.003973892191287987,0.08678441487519431,49.60024545001902,0.8212626428993761,Oct,1,2,7,10,Other,False,True
12,277.65266159049474,13,150.54603475809012,512,7702.72187396814,0.1661756710248673,0.10485882999374169,122.48308476163032,0.0032592690916875,Oct,4,1,4,10,New_Visitor,True,True
8,6.449858548885956,10,209.5585071245219,695,2198.250356694583,0.07217212832431529,0.11085307764560144,271.3081660810382,0.36553100334915734,Apr,7,9,5,18,Other,False,True
28,149.0628519576589,19,135.82663538247468,76,6214.51818964509,0.16026418976390466,0.07758966376246766,89.3471979123615,0.15606610343051952,Feb,7,9,5,6,Other,True,True
14,140.6839271835233,20,71.31540780623769,42,1298.4471969626554,0.10907223494442773,0.0640881431177364,44.89270471643296,0.30622638816925474,June,1,2,2,16,Returning_Visitor,False,True
12,217.39377143320579,11,291.1208402048721,156,7393.816468508907,0.07184324505045747,0.12692387108288442,154.36541221661147,0.16867667393584118,May,7,12,2,6,New_Visitor,False,True
0,29.0945047108786,19,169.69426901261923,529,3422.762381672438,0.1798656998271485,0.08840800908082369,358.18336681617865,0.07322241081645164,June,2,12,1,18,Other,False,True
24,316.0525494904433,0,39.294571130373726,219,5349.227615118758,0.15340889850720782,0.19442997442861992,230.87187581814806,0.5532352036859696,Apr,6,3,1,2,Other,False,True
6,87.11232070702741,2,121.82701265517203,584,6801.534570149771,0.016141487517551577,0.07513792982856392,298.2857421449812,0.7597695297366972,Feb,8,13,2,20,New_Visitor,True,True
8,270.81512595280407,7,98.80122358407021,189,2259.092128990516,0.18611828545808287,0.03916855781154325,114.00598072929017,0.49214741222412006,Nov,1,5,7,5,New_Visitor,False,False
23,321.28484929763727,22,64.2262405765564,261,3111.9681001042777,0.09340153230369955,0.08532734423307849,357.17167386524426,0.2869364041409943,Apr,7,2,5,13,Other,True,True
0,224.75078249660524,11,280.03199677207783,143,2507.1136611142315,0.02979266368771454,0.1313850684112055,224.30779169907157,0.10108801900665432,Jan,2,2,5,2,New_Visitor,True,True
11,296.3532826887942,14,264.27599863792574,484,2262.964112268416,0.1542423250457431,0.08836117689471752,141.55521563756315,0.8606291563195536,Sep,8,10,1,7,New_Visitor,False,True
7,264.7441248860022,22,59.74413495603492,640,4082.4115983720326,0.10352262880156918,0.05713677509011472,262.0401975460014,0.6387684157665343,Oct,5,8,8,5,Other,True,True
23,142.21191886080305,2,105.64436671665503,277,4373.95994966649,0.1345467604401974,0.0990466787882906,162.7795611081496,0.15182443772698162,June,5,11,1,3,New_Visitor,False,True
10,323.54341561342613,24,228.69461750124648,662,614.5820415201717,0.138807552731577,0.08939946240370487,110.89565920143332,0.2970023086425868,Jul,6,12,5,20,New_Visitor,True,True
18,117.8805479542112,21,62.5518144420647,306,5386.342883522766,0.03943825348954986,0.18882759185970585,306.70933728927133,0.7834611695904037,Aug,2,13,8,10,Other,False,True
16,228.48516710060687,7,177.46945878127335,606,3360.0104960748063,0.19417315954994763,0.0037793053713028216,43.096079523028806,0.7604629025657338,Jul,6,3,2,18,Other,True,True
7,298.1590956566158,23,209.93818263744498,549,7116.234720909596,0.021108617123591224,0.07899075406014591,265.5630249988851,0.6638685174547156,May,1,1,6,1,New_Visitor,True,True
2,151.58236392500305,18,196.1916977132299,155,7084.179335113096,0.12115890246509116,0.06819786229706226,210.1585915506353,0.09320936049776107,Jan,8,12,4,7,Returning_Visitor,True,True
2,121.10704304697002,19,211.92259208265017,299,5760.742266995839,0.029266066095426105,0.04468924554879477,205.42652450484863,0.6448292676858698,Oct,7,11,6,14,New_Visitor,True,True
0,183.7384040691291,5,212.0098767086289,346,6830.265504041328,0.17545983607378637,0.10924897569252415,137.00000103371858,0.6103329514624314,Jan,1,12,2,11,New_Visitor,False,True
26,327.1853977396614,17,289.4417759546785,422,7380.112694944796,0.03464924040460742,0.12281211684528855,110.00701918626143,0.6098873103818558,Feb,3,1,7,5,Other,True,True
4,371.9687052582659,10,103.94966685609587,425,4618.6309624474525,0.08820741710481284,0.002041266147353671,276.11815638422377,0.8227502408857831,Jan,5,7,1,20,New_Visitor,True,True
9,218.03336514395605,11,263.5771273127519,41,7775.250873353291,0.017374391925566203,0.13523194109273015,324.3462484521738,0.11853381825207165,Nov,1,13,2,16,Returning_Visitor,True,True
6,264.58648212946076,22,6.542118754532034,315,7643.190891119345,0.0896066656880757,0.07653344855689631,154.49842464499213,0.02629939885055732,Jul,8,1,6,20,Other,False,True
25,361.30944889556565,1,86.46088899698496,637,879.0613164121819,0.0008124568319080261,0.18460534943495704,57.683164890368175,0.23108276333014477,June,3,3,5,1,New_Visitor,False,True
8,39.41874056517696,4,14.59673459973947,76,4182.040291550273,0.08869403540833526,0.1487028853978195,8.598383044463986,0.1099401777481237,Apr,7,9,6,8,New_Visitor,True,False
27,92.83143114646602,3,195.36118798675207,95,915.7397146460627,0.13757846058131465,0.10276149590744495,231.90003413294278,0.7634320190523093,Apr,6,7,1,16,Other,False,True
6,283.560002500633,8,30.237111219485868,262,5473.068519652168,0.03656600445442642,0.19030110084944812,100.01038352911968,0.07836559442556401,Aug,5,10,1,9,New_Visitor,False,True
8,329.49778476491986,12,253.71205909561388,622,6122.206287035465,0.11059714846281113,0.13748084991971277,165.15782034672054,0.36333745288917474,Sep,6,3,6,10,New_Visitor,True,True
7,342.81161133223117,12,193.97750513707794,204,7077.423729922305,0.09487672523952102,0.16161268770943346,222.9104221933012,0.8984649052025319,Oct,1,10,3,18,Other,False,True
11,166.04287074197305,14,8.644620316081708,287,5200.076307974528,0.06699617609924405,0.19127304460608963,289.4299355282787,0.8974244630025184,Feb,2,7,7,10,New_Visitor,True,True
1,35.735960916746734,1,214.4332096303869,262,3631.942204256587,0.13415979043869186,0.1780676847357288,169.41695146912917,0.3582074411468932,Aug,4,8,4,4,New_Visitor,False,True
